GEOID,median_income,total_population,total_households,transit_score,is_transit_desert,transit_dependency_score,transit_dependency_weight,transit_hardship_index,vulnerability_segment,affected_workers_estimate,transit_dependent_population_estimate,forced_drive_commuters_estimate,ht_burdened_households_estimate,lost_wages_annual,healthcare_annual,environment_annual,education_annual,forgone_affordability_annual,cost_of_inaction_annual,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049005610,71012.0,1579.0,752.0,0.023,False,0.09674397411736614,1.0967,47.72,High-need transit burden,10.0,54.59308510638298,9.77,146.0,6786.53,3964.94,3639.17,5810.82,0.0,20201.46,20778.12,64142.87,110057.23,0.0,54.73
39049005620,55162.0,2268.0,1057.0,0.0134,False,0.3309301938199537,1.3309,57.64,High-need transit burden,54.0,306.8344370860927,53.28,143.0,54561.75,34446.46,19884.21,9846.61,216106.88,334845.91,345404.13,1069278.44,1839678.64,0.0,50.84
39049005700,128710.0,3861.0,2261.0,0.051,False,0.12330943073335857,1.1233,38.31,Moderate hardship,43.0,102.45908889871738,40.81,192.0,12814.41,7455.29,15115.54,4354.95,0.0,39740.19,40954.33,126670.36,217752.86,3.08,32.78
39049005810,97070.0,2833.0,1559.0,0.0089,False,0.09979022704519777,1.0998,44.71,Moderate hardship,26.0,56.332905708787685,25.77,131.0,27141.82,3939.05,9626.1,3908.52,0.0,44615.49,46030.27,142528.03,245280.75,0.0,38.22
39049005820,93803.0,2276.0,1173.0,0.0064,False,0.3004726975912111,1.3005,52.94,High-need transit burden,29.0,230.8985507246377,28.81,141.0,45050.64,23500.45,10767.05,8193.15,0.0,87511.29,90513.08,280991.59,484861.79,0.0,44.38
39049005900,53148.0,2363.0,944.0,0.0172,False,0.4670433483869286,1.467,61.32,High-need transit burden,147.0,523.1641949152543,144.47,209.0,112957.21,76634.37,53875.43,21707.09,122457.24,387631.34,400314.48,1240771.12,2137458.92,0.0,59.59
39049006000,49933.0,2056.0,883.0,0.0166,False,0.27333299725511556,1.2733,54.76,High-need transit burden,67.0,214.21517553793882,65.89,160.0,35822.51,21481.02,24574.51,11847.57,532412.57,626138.18,645087.52,1994463.35,3426881.04,0.0,57.52
39049006100,55945.0,2601.0,1147.0,0.0051,False,0.40515290648175983,1.4052,58.25,High-need transit burden,74.0,446.7279860505667,73.62,248.0,37410.99,57071.45,27520.87,14209.81,0.0,136213.12,140949.26,437786.03,755831.29,0.0,61.36
39049006236,208606.0,6255.0,1923.0,0.0,True,0.08859428718593881,1.0886,32.38,Moderate hardship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56623.95,0.0,56623.95,57303.44,173981.49,293476.62,0.0,11.26
39049006237,103470.0,7183.0,3148.0,0.0166,False,0.257187070990912,1.2572,55.28,High-need transit burden,424.0,889.8888182973316,416.96,390.0,1051065.91,92074.48,155510.5,62672.39,0.0,1361323.28,1406893.77,4363769.67,7522630.32,0.0,40.81
39049006238,107976.0,1946.0,838.0,0.0281,False,0.18051743128570308,1.1805,45.77,Moderate hardship,36.0,60.377088305489266,34.99,65.0,52829.6,4674.56,13019.85,15103.14,0.0,85627.15,88193.28,272619.1,468361.95,4.51,36.23
39049006239,100066.0,6377.0,2863.0,0.0179,False,0.09604222890777177,1.096,47.4,Moderate hardship,0.0,0.0,0.0,442.0,0.0,0.0,0.0,44155.31,0.0,44155.31,44685.17,135670.62,228852.82,0.0,46.28
39049006240,95482.0,5223.0,2583.0,0.0,True,0.11992026671301423,1.1199,47.61,Moderate hardship,43.0,121.3240418118467,43.0,115.0,58748.36,8720.35,16090.82,14798.19,0.0,98357.72,101386.18,313654.75,539306.37,3.0,34.56
39049006241,108008.0,9716.0,4016.0,0.0,True,0.17305386449741778,1.1731,47.73,Moderate hardship,100.0,558.863545816733,100.0,582.0,69076.55,46124.01,37420.5,48284.8,0.0,200905.86,206914.05,639607.99,1098938.71,4.33,44.21
39049006301,99583.0,2710.0,1320.0,0.0,True,0.20121369182108734,1.2012,47.29,Moderate hardship,18.0,92.38636363636364,18.0,90.0,20691.57,7339.45,6735.69,16648.63,0.0,51415.34,52838.0,162970.92,279378.62,5.03,36.61
39049006302,81548.0,4914.0,2052.0,0.0038,False,0.19271790581754197,1.1927,50.48,High-need transit burden,19.0,155.6578947368421,18.93,372.0,14366.01,12197.74,7078.32,32368.04,0.0,66010.11,67627.19,207940.25,355363.33,0.0,52.42
39049006310,209762.0,4289.0,1528.0,0.0,True,0.14360484735355297,1.1436,31.71,Moderate hardship,4.0,4.0,4.0,0.0,3592.5,274.46,1496.82,37833.81,0.0,43197.59,43827.1,133415.48,225661.53,0.0,10.97
39049006321,171853.0,4298.0,1595.0,0.0115,False,0.17774196653386107,1.1777,38.35,Moderate hardship,8.0,110.48150470219436,7.91,41.0,12641.18,8408.88,2953.15,41663.4,0.0,65666.61,67061.24,205530.47,350081.4,0.0,19.53
39049006323,131667.0,3644.0,1586.0,0.0332,False,0.1624118317239676,1.1624,39.04,Moderate hardship,15.0,55.142496847414876,14.5,27.0,11506.98,4020.45,5389.94,24297.74,0.0,45215.11,46225.1,141822.66,241822.45,0.0,24.88
39049006330,161563.0,4616.0,1993.0,0.0344,False,0.11046506067690015,1.1105,36.1,Moderate hardship,30.0,34.74159558454591,28.97,15.0,33907.6,2367.1,10766.13,28128.11,0.0,75168.94,77068.92,237137.0,405515.22,0.0,18.35
39049006340,118958.0,3508.0,1571.0,0.0,True,0.23027507001649428,1.2303,44.59,Moderate hardship,142.0,317.08211330362826,142.0,142.0,179709.05,29753.35,53137.11,24286.12,0.0,286885.63,296134.21,917428.06,1579670.69,0.0,27.86
39049006351,61806.0,4217.0,2041.0,0.0089,False,0.2505438413094281,1.2505,52.2,Moderate hardship,18.0,150.828515433611,17.84,207.0,10783.58,12530.95,6663.93,19311.57,0.0,49290.03,50629.69,156091.89,267482.15,0.0,46.43
39049006352,64590.0,3520.0,1982.0,0.0153,False,0.12783281489584342,1.1278,50.25,High-need transit burden,142.0,174.04641775983853,139.83,524.0,58511.23,13524.37,52164.97,4882.51,0.0,129083.08,133102.28,411898.5,708420.29,0.0,64.02
39049006353,51306.0,5043.0,2876.0,0.0325,False,0.25167906686653224,1.2517,53.83,High-need transit burden,177.0,527.7965924895689,171.25,482.0,75216.04,52084.21,63666.07,19532.3,184072.75,394571.37,406895.94,1259299.03,2166055.6,0.0,55.62
39049006372,61347.0,7214.0,3105.0,0.0153,False,0.16275385089838865,1.1628,51.56,High-need transit burden,45.0,285.7719806763285,44.31,524.0,22028.7,22307.15,16530.29,56088.11,0.0,116954.25,119815.39,368395.19,629550.46,0.0,53.95
39049006384,103511.0,6070.0,2573.0,0.0166,False,0.19895797731396178,1.199,48.23,Moderate hardship,170.0,363.3035367275554,167.18,272.0,164468.49,30828.97,62351.89,37768.5,0.0,295417.85,304573.57,942432.01,1620757.18,0.0,40.5
